SITE_NAME,DESCRIPTION,STATION_NAME,TRAMP_FARM_NAME,DATE_COLLECTED,LABORATORY_SAMPLE_NUMBER,AG-110M,AM-241,AM-241_chem,C-14,C-14_N,CE-144,CM-242,CM-243+244,CO-57,CO-58,CO-60,CR-51,CS-134,CS-137,CS-137+CS-134,EU-154,EU-155,H-3,I-125,I-129,I-131,K-40,MN-54,NB-95,NP-237,OBT,P-32,PB-210,PM-147,PO-210,PU-238,PU-239+240,PU-241,RA-226,RU-103,RU-106,S-35,SB-124,SB-125,SE-75,SR-90,TC-99,TH-228,TH-230,TH-232,TOTAL BETA,U-234,U-235,U-238,ZN-65,ZR-95
Amersham,UMK-Unpasteurised Milk,N/A,AM07,2016-01-25,201627556,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amersham,UMK-Unpasteurised Milk,N/A,AM07,2016-02-15,201628438,<0.15,<0.14,N/A,N/A,N/A,<0.51,N/A,N/A,N/A,N/A,<0.084,N/A,<0.098,<0.076,N/A,<0.32,<0.19,<5.7,<0.007,N/A,N/A,43?4.1,N/A,<0.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.077,<0.48,<0.3,N/A,<0.2,<0.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.27
Amersham,UMK-Unpasteurised Milk,N/A,AM07,2016-02-22,201628030,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amersham,UMK-Unpasteurised Milk,N/A,AM07,2016-03-21,201628371,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amersham,UMK-Unpasteurised Milk,N/A,AM07,2016-04-18,201629019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amersham,UMK-Unpasteurised Milk,N/A,AM07,2016-05-15,201629902,<0.048,<0.39,N/A,N/A,N/A,<0.3,N/A,N/A,N/A,N/A,<0.039,N/A,<0.043,<0.04,N/A,<0.12,<0.093,<3.3,<0.005,N/A,N/A,49?4.2,N/A,<0.095,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.05,<0.15,0.5?0.29,N/A,<0.12,<0.075,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.08
Amersham,UMK-Unpasteurised Milk,N/A,AM07,2016-05-16,201629387,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amersham,UMK-Unpasteurised Milk,N/A,AM07,2016-06-13,201629697,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amersham,UMK-Unpasteurised Milk,N/A,AM07,2016-07-11,201630047,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amersham,UMK-Unpasteurised Milk,N/A,AM07,2016-08-08,201630660,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
